gene	gene_name	zscore	effect_size	pvalue	var_g	pred_perf_r2	pred_perf_pval	pred_perf_qval	n_snps_used	n_snps_in_cov	n_snps_in_model	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
ENSG00000185829	ARL17A	-14.2483074063	-0.517185591765	4.59278366187e-46	0.0651375136884	0.1582004613	0.000236001846935	0.00128502351707	17	23	23	4.59278366187e-46	1.10777941924304e-42	1.10777941924304e-42	Brain_Hypothalamus
ENSG00000238083	LRRC37A2	-13.7919710802	-0.212285344896	2.84868687426e-43	0.363440847482	0.697411725997	3.32176217133e-22	4.11175594381e-19	44	60	60	2.84868687426e-43	3.43551637035756e-40	6.87103274071512e-40	Brain_Hypothalamus
ENSG00000176681	LRRC37A	-13.7566977119	-0.220001334191	4.64253154441e-43	0.360699173907	0.615055623153	4.75576404279e-18	3.5320784683e-15	40	52	52	4.64253154441e-43	3.73259536170564e-40	1.11977860851169e-39	Brain_Hypothalamus
ENSG00000174227	PIGG	8.83696328838	6.59476508323	9.83554426477e-19	0.000129226580256	0.12684169705	0.00110154419431	0.00429679887954	2	5	5	9.83554426477e-19	5.93083319165631e-16	2.37233327666252e-15	Brain_Hypothalamus
ENSG00000136235	GPNMB	8.11851419291	0.230115912946	4.71925529694e-16	0.0826511995515	0.213905394107	1.38039768987e-05	0.000136289459599	12	13	13	4.71925529694e-16	2.27656875524386e-13	1.13828437762193e-12	Brain_Hypothalamus
ENSG00000103510	KAT8	-5.66771667838	-0.210151088001	1.447129931e-08	0.0477297009772	0.108176541446	0.00271763585032	0.00843082613695	8	8	8	1.447129931e-08	5.81746232262e-06	3.490477393572e-05	Brain_Hypothalamus
ENSG00000178226	PRSS36	-5.22149782324	-0.140291609632	1.77481716195e-07	0.0892199369781	0.121336113945	0.00143902543825	0.00528041440731	12	15	15	1.77481716195e-07	6.115512849462e-05	0.00042808589946234	Brain_Hypothalamus
ENSG00000164615	CAMLG	-4.91389429865	-0.116377892902	8.92848989367e-07	0.0920497266203	0.198603247933	3.05671163029e-05	0.000256810187933	13	13	13	8.92848989367e-07	0.000269193970294151	0.0021535517623532	Brain_Hypothalamus
ENSG00000228696	ARL17B	-4.8706279787	-0.118901178166	1.11244119534e-06	0.238650909005	0.14948461316	0.000363413311444	0.00183359351927	46	69	69	1.11244119534e-06	0.00029813424035112	0.00268320816316008	Brain_Hypothalamus
ENSG00000177479	ARIH2	4.82352924347	1.65466076716	1.41040077297e-06	0.000517031372745	0.0682386398012	0.0184956153962	0.0328643789925	1	1	1	1.41040077297e-06	0.000340188666440364	0.00340188666440364	Brain_Hypothalamus
ENSG00000213672	NCKIPSD	4.73015255199	0.133454115009	2.24351186538e-06	0.0906990112037	0.124523442823	0.00123287207214	0.0047052772996	10	11	11	2.24351186538e-06	0.000491940965390596	0.00541135061929656	Brain_Hypothalamus
ENSG00000235109	ZSCAN31	4.69283526866	0.102595108488	2.6944445035e-06	0.145261243396	0.178963315956	8.33321094132e-05	0.000563663716187	23	30	30	2.6944445035e-06	0.0005415833452035	0.006499000142442	Brain_Hypothalamus
ENSG00000058063	ATP11B	-4.54489523898	-0.120446752891	5.49625833242e-06	0.221527299096	0.067636567991	0.0190396047818	0.033508541305	60	72	72	5.49625833242e-06	0.00101976731521516	0.013256975097797	Brain_Hypothalamus
ENSG00000187987	ZSCAN23	4.47084618959	0.0886135853825	7.79107175634e-06	0.15143988329	0.143817536242	0.000480441915583	0.00227989421522	32	46	46	7.79107175634e-06	0.00134229036259229	0.0187920650762921	Brain_Hypothalamus
ENSG00000180336	C17orf104	4.26983745613	0.0564769966266	1.95615474872e-05	0.489264911715	0.143744123736	0.00048217887449	0.00228056071222	83	93	93	1.95615474872e-05	0.00314549683594176	0.0471824525391264	Brain_Hypothalamus
ENSG00000126522	ASL	4.05144249727	0.259567500848	5.09028368717e-05	0.0297107377207	0.086784068289	0.00759339132475	0.0175033142469	7	14	14	5.09028368717e-05	0.00767360265840877	0.12277764253454	Brain_Hypothalamus
ENSG00000108379	WNT3	-4.0323016938	-0.0620193497971	5.5233217219e-05	0.324591231783	0.390547023615	4.49828079463e-10	2.19792575529e-08	32	42	42	5.5233217219e-05	0.00783661881954282	0.133222519932228	Brain_Hypothalamus
ENSG00000005421	PON1	-3.92800495951	-0.122849438298	8.56534451187e-05	0.0588025665415	0.069052745694	0.0177849300708	0.0319515354966	22	23	23	8.56534451187e-05	0.0114775616459058	0.206596109626304	Brain_Hypothalamus
ENSG00000120071	KANSL1	3.84078213913	0.145970626125	0.000122642924035	0.0638765029453	0.0937599782371	0.00543417233219	0.0139458479058	27	32	32	0.000122642924035	0.015444686138319	0.29581473277242	Brain_Hypothalamus
ENSG00000196331	HIST1H2BO	-3.83014957367	-0.194382237892	0.000128065390865	0.0254852470887	0.0788482948132	0.0111098633476	0.022958350857	4	6	6	0.000128065390865	0.015444686138319	0.30889372276638	Brain_Hypothalamus
ENSG00000260903	XKR7	3.63924050331	2.30673751895	0.000273443330838	0.000137357854528	0.0711021002684	0.0161155231604	0.0296995183881	1	1	1	0.000273443330838	0.031128812899719	0.659545313981256	Brain_Hypothalamus
ENSG00000103932	RPAP1	-3.61220846645	-0.104565842913	0.000303600340372	0.0728436988221	0.116205484068	0.00184469516741	0.00634867673441	9	9	9	0.000303600340372	0.031128812899719	0.732284020977264	Brain_Hypothalamus
ENSG00000171103	TRMT61B	-3.60717817836	-0.126796028648	0.000309545104934	0.0538216812364	0.065864503623	0.020736494559	0.0357328878444	19	20	20	0.000309545104934	0.031128812899719	0.746622793100808	Brain_Hypothalamus
ENSG00000164048	ZNF589	3.60701527595	0.0964571000209	0.000309739431838	0.0672697066087	0.168248994544	0.000142928789098	0.000864433107456	13	13	13	0.000309739431838	0.031128812899719	0.747091509593256	Brain_Hypothalamus
ENSG00000168795	ZBTB5	-3.55828213692	-2.15783522993	0.000373288229046	0.000160898063696	0.0716604450362	0.0156887328878	0.0292762091498	1	1	1	0.000373288229046	0.0360148483383581	0.900371208458952	Brain_Hypothalamus
ENSG00000188672	RHCE	3.52199016725	0.0941812789234	0.000428320029686	0.163304668941	0.22354833941	8.30989873689e-06	9.21151308095e-05	22	25	25	0.000428320029686	0.0397349196770243	1	Brain_Hypothalamus
